Unnamed: 0,BrandName,ProductName,Price,ProductRating,Reviews
245,Bata Comfit,Women's Wedge Heel Sandal,897,3.9,302.0
246,Hush Puppies,womens Casey Thong Slipper,1954,3.8,66.0
247,Skechers,Women Ultr A Flex Sandal,1975,3.6,88.0
248,Mochi,Women Comfort & Fashion Chappal,1494,4.0,105.0
249,Metro,Women's Gold Embellished Casual Comfort Fashion Slippers,1194,3.2,18.0
250,Bata,"Women's Sandals Stylish, Comfortable Breathable Footwear",1050,4.3,21.0
251,SPARX,Boy's Ss0101c Outdoor Sandals,509,4.1,105.0
252,Liberty,A-HA LPMXT-801 Slingback Casual Slip-On Clogs for Women with EVA Sole | Breathable and Lightweight | Soft and Comfortable Footbed | Stylish Home Footwear,430,3.9,3100.0
253,Bata,Women's Wedge Heel Sandal,769,3.9,290.0
254,Bata,Women's Platform Heel Sandal,601,4.1,131.0
255,Bata,Men's Slip-on Sandal,349,4.1,868.0
256,Bata,Women's Slip-on Sandal,805,4.0,269.0
257,Bata,Women's Slip-on Sandal,909,3.5,402.0
258,Mochi,Women's Perforated Detail Thong Strap Casual Fashion Sandals,1088,3.7,193.0
259,Liberty,Senorita MDL-63 Casual Wedge Heel Sandal for Women - Sliver | Lightweight & Comfortable Insolse | Durable Soft Insole | Stylish Footwear and Cushioned Footbed,1099,4.0,87.0
260,Hush Puppies,Women's Slip-on Sandal,2036,3.5,152.0
261,YOHO,"ArchFlex orthopedic slippers for men | Arch support for pain relief | Soft, Anti-Skid, lightweight | comfortable padded straps flip flops for Everyday",647,4.0,2000.0
262,BRUTON,"Sandals for Men's | Light Weight, Comfortable & Trendy | Soft Footbed | Casual and Stylish Sandals for Walking, Working All Day Black",244,3.1,395.0
263,Mochi,Women's Embellished Faux Leather Slip-on Heel Fashion Sandals,1194,4.1,361.0
264,SPARX,"mens SS 105 | Latest, Daily Use, Stylish Floaters | Red Sport Sandal - 6 UK (SS 105)",430,3.8,15.0
265,Shoetopia,Women Wedge Heel Sandal,589,3.6,185.0
266,Campus,Women Gc-2208L Sports Sandals,699,4.3,656.0
267,Bata,Women's Slip-on Sandal,836,4.0,743.0
268,Power,Women's Eona Sport Sandal,726,4.1,137.0
269,Bata,womens Shefali New Wedge Sandal,494,4.1,257.0
270,Neeman's,"The Minimals Cross Strap Casual Sandals for Men | Lightweight, Durable and Flexible Sandals | PU Double Strap & TPR Out sole",1049,4.0,100.0
271,SPARX,Women's Ss 101 Sport Sandal,623,4.2,559.0
272,Bata,Women's Slip-on Sandal,824,4.1,130.0
273,Mochi,Women's Synthetic Mules (34-9873),1194,3.9,398.0
274,Carlton London,women's Lightweight Everyday Casual Sandal,1080,3.4,40.0
275,Shoetopia,Women Wedge Heel Sandal,499,4.0,86.0
276,Scholl,Women's Stella Fm Sandal,391,3.4,32.0
277,WALKAROO,Comfort Sandal For Men's|CloudStep Dual-Density PU Sole – Ultimate Comfort|Stylish Casual Wear|WE1335,566,3.7,322.0
278,Hush Puppies,Women's Buckle Sandal,2399,3.9,40.0
279,Liberty,"A-HA LITEWALK Clogs for Men, Blue, Khaki & White | Casual Slip-On Slingback Clog for Walking & Outdoor Use | Solid Pattern, Trendy Stylish Fashionable Sandals with Lightweight",458,4.1,124.0
280,AJANTA,Mens Black Sandal,349,3.3,336.0
281,SELBRO,Womens Open toe Soft Dr Sandals With Extra Cushioned Padding,749,3.9,577.0
282,PUMA,Unisex Adult Max Slide,1119,4.1,2900.0
